File,Class,isDC,isGC
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.usage.JobSchedulerStoreUsageTest,JobSchedulerStoreUsageTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.util.ProducerThread,ProducerThread,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.util.LinkedNodeTest,LinkedNodeTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.util.LinkedNodeTest,IntLinkedNode,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.util.MessageIdList,MessageIdList,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.util.ReflectionSupportTest,ReflectionSupportTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.util.ReflectionSupportTest,TestWitBoolean,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.DataFileGenerator,DataFileGenerator,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.WireFormatInfoData,WireFormatInfoData,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.DataFileGeneratorTestSupport,DataFileGeneratorTestSupport,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.ItStillMarshallsTheSameTest,ItStillMarshallsTheSameTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.BrokerInfoData,BrokerInfoData,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.NumberRangesWhileMarshallingTest,NumberRangesWhileMarshallingTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.BooleanStreamTest,BooleanStreamTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.BaseCommandTestSupport,BaseCommandTestSupport,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.ControlCommandTest,ControlCommandTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.RemoveSubscriptionInfoTest,RemoveSubscriptionInfoTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.ResponseTest,ResponseTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.ConnectionErrorTest,ConnectionErrorTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.RemoveInfoTest,RemoveInfoTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.MessagePullTest,MessagePullTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.NetworkBridgeFilterTest,NetworkBridgeFilterTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.TransactionIdTestSupport,TransactionIdTestSupport,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.DataArrayResponseTest,DataArrayResponseTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.MessageDispatchNotificationTest,MessageDispatchNotificationTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.DiscoveryEventTest,DiscoveryEventTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.ProducerInfoTest,ProducerInfoTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.PartialCommandTest,PartialCommandTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.ReplayCommandTest,ReplayCommandTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.SubscriptionInfoTest,SubscriptionInfoTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.KeepAliveInfoTest,KeepAliveInfoTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.JournalTransactionTest,JournalTransactionTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.MessageTestSupport,MessageTestSupport,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.LastPartialCommandTest,LastPartialCommandTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.FlushCommandTest,FlushCommandTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.ConnectionControlTest,ConnectionControlTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.ConsumerInfoTest,ConsumerInfoTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.ShutdownInfoTest,ShutdownInfoTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.XATransactionIdTest,XATransactionIdTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.DataResponseTest,DataResponseTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v5.MessageAckTest,MessageAckTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.BaseCommandTestSupport,BaseCommandTestSupport,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.ControlCommandTest,ControlCommandTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.ResponseTest,ResponseTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.ConnectionErrorTest,ConnectionErrorTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.NetworkBridgeFilterTest,NetworkBridgeFilterTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.TransactionIdTestSupport,TransactionIdTestSupport,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.ExceptionResponseTest,ExceptionResponseTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.DataArrayResponseTest,DataArrayResponseTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.DiscoveryEventTest,DiscoveryEventTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.ConnectionIdTest,ConnectionIdTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.ProducerInfoTest,ProducerInfoTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.PartialCommandTest,PartialCommandTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.ReplayCommandTest,ReplayCommandTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.SubscriptionInfoTest,SubscriptionInfoTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.KeepAliveInfoTest,KeepAliveInfoTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.JournalTransactionTest,JournalTransactionTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.MessageTestSupport,MessageTestSupport,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.LastPartialCommandTest,LastPartialCommandTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.FlushCommandTest,FlushCommandTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.ConnectionControlTest,ConnectionControlTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.XATransactionIdTest,XATransactionIdTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v3.MessageAckTest,MessageAckTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.BaseCommandTestSupport,BaseCommandTestSupport,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.ActiveMQBytesMessageTest,ActiveMQBytesMessageTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.ControlCommandTest,ControlCommandTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.ResponseTest,ResponseTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.ConnectionErrorTest,ConnectionErrorTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.WireFormatInfoTest,WireFormatInfoTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.IntegerResponseTest,IntegerResponseTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.NetworkBridgeFilterTest,NetworkBridgeFilterTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.TransactionIdTestSupport,TransactionIdTestSupport,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.ExceptionResponseTest,ExceptionResponseTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.DataArrayResponseTest,DataArrayResponseTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.DiscoveryEventTest,DiscoveryEventTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.ActiveMQTempDestinationTestSupport,ActiveMQTempDestinationTestSupport,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.ConnectionIdTest,ConnectionIdTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.ProducerInfoTest,ProducerInfoTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.PartialCommandTest,PartialCommandTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.ReplayCommandTest,ReplayCommandTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.ActiveMQTempQueueTest,ActiveMQTempQueueTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.KeepAliveInfoTest,KeepAliveInfoTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.JournalTransactionTest,JournalTransactionTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.MessageTestSupport,MessageTestSupport,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.LastPartialCommandTest,LastPartialCommandTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.FlushCommandTest,FlushCommandTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.ActiveMQTempTopicTest,ActiveMQTempTopicTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.SessionInfoTest,SessionInfoTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.ConnectionControlTest,ConnectionControlTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.ActiveMQObjectMessageTest,ActiveMQObjectMessageTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.XATransactionIdTest,XATransactionIdTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.ActiveMQTextMessageTest,ActiveMQTextMessageTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v1.MessageAckTest,MessageAckTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.BaseCommandTestSupport,BaseCommandTestSupport,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.ControlCommandTest,ControlCommandTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.RemoveSubscriptionInfoTest,RemoveSubscriptionInfoTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.ResponseTest,ResponseTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.ConnectionErrorTest,ConnectionErrorTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.MessagePullTest,MessagePullTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.NetworkBridgeFilterTest,NetworkBridgeFilterTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.TransactionIdTestSupport,TransactionIdTestSupport,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.DataArrayResponseTest,DataArrayResponseTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.MessageDispatchNotificationTest,MessageDispatchNotificationTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.DiscoveryEventTest,DiscoveryEventTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.ProducerInfoTest,ProducerInfoTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.PartialCommandTest,PartialCommandTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.ReplayCommandTest,ReplayCommandTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.SubscriptionInfoTest,SubscriptionInfoTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.KeepAliveInfoTest,KeepAliveInfoTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.JournalTransactionTest,JournalTransactionTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.MessageTestSupport,MessageTestSupport,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.LastPartialCommandTest,LastPartialCommandTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.FlushCommandTest,FlushCommandTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.ConnectionControlTest,ConnectionControlTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.ConsumerInfoTest,ConsumerInfoTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.ShutdownInfoTest,ShutdownInfoTest,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.XATransactionIdTest,XATransactionIdTest,1,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.DataResponseTest,DataResponseTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v4.MessageAckTest,MessageAckTest,0,1
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v9.BaseCommandTestSupport,BaseCommandTestSupport,1,0
activemq.activemq-unit-tests.src.test.java.org.apache.activemq.openwire.v9.ControlCommandTest,ControlCommandTest,1,1
