File,Class,isDC,isGC
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.test.java.org.apache.nifi.processors.azure.eventhub.GetAzureEventHubTest,GetAzureEventHubTest,0,1
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.test.java.org.apache.nifi.processors.azure.eventhub.GetAzureEventHubTest,MockGetAzureEventHub,1,0
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.test.java.org.apache.nifi.processors.azure.eventhub.GetAzureEventHubTest,MockGetAzureEventHubNoPartitions,1,0
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.test.java.org.apache.nifi.processors.azure.eventhub.TestConsumeAzureEventHub,TestConsumeAzureEventHub,0,1
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.test.java.org.apache.nifi.processors.azure.storage.AzureTestUtil,AzureTestUtil,1,0
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.test.java.org.apache.nifi.processors.azure.storage.ITPutAzureStorageBlob,ITPutAzureStorageBlob,0,1
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.test.java.org.apache.nifi.processors.azure.storage.queue.TestPutAzureQueueStorage,TestPutAzureQueueStorage,0,1
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.test.java.org.apache.nifi.processors.azure.storage.queue.TestGetAzureQueueStorage,TestGetAzureQueueStorage,0,1
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.test.java.org.apache.nifi.processors.azure.storage.queue.GetAzureQueueStorageIT,GetAzureQueueStorageIT,0,1
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.test.java.org.apache.nifi.processors.azure.storage.queue.PutAzureQueueStorageIT,PutAzureQueueStorageIT,0,1
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.main.java.org.apache.nifi.processors.azure.eventhub.PutAzureEventHub,PutAzureEventHub,0,1
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.main.java.org.apache.nifi.processors.azure.eventhub.GetAzureEventHub,GetAzureEventHub,1,1
nifi.nifi-nar-bundles.nifi-azure-bundle.nifi-azure-processors.src.main.java.org.apache.nifi.processors.azure.eventhub.ConsumeAzureEventHub,ConsumeAzureEventHub,1,1
