File,Method,isFE,isLM
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,addAttachmentMarshaller,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,setInMediaTemplates,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,setOutMediaTemplates,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,setResolver,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,setSystemId,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,setInParameters,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,setOutParameters,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,setInProperties,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,setOutProperties,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,inClassCanBeHandled,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,outClassCanBeHandled,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,createTemplates,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,setTransformParameters,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,createTemplates,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,setTransformerParameter,1,0
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.XSLTJaxbProvider,getOutputProperties,1,1
cxf.rt.frontend.jaxrs.src.main.java.org.apache.cxf.jaxrs.provider.FormEncodingProvider,setExpectedEncoded,1,0
